강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20240101~20241231

날짜,지점,강수량(mm)
2024-04-09,108,
2024-04-10,108,
2024-04-11,108,0
2024-04-12,108,
2024-04-13,108,
2024-04-14,108,
2024-04-15,108,17.1
2024-04-16,108,2.3
2024-04-17,108,
2024-04-18,108,
2024-04-19,108,
2024-04-20,108,4.8
2024-04-21,108,
2024-04-22,108,
2024-04-23,108,0
2024-04-24,108,9
2024-04-25,108,
2024-04-26,108,
2024-04-27,108,
2024-04-28,108,
2024-04-29,108,
2024-04-30,108,
2024-05-01,108,
2024-05-02,108,
2024-05-03,108,
2024-05-04,108,0
2024-05-05,108,48.3
2024-05-06,108,12.3
2024-05-07,108,2.4
2024-05-08,108,
2024-05-09,108,
2024-05-10,108,
2024-05-11,108,31.7
2024-05-12,108,
2024-05-13,108,
2024-05-14,108,
2024-05-15,108,20.6
2024-05-16,108,0.1
2024-05-17,108,
2024-05-18,108,
2024-05-19,108,
2024-05-20,108,
2024-05-21,108,
2024-05-22,108,
2024-05-23,108,
2024-05-24,108,
2024-05-25,108,
2024-05-26,108,8.7
2024-05-27,108,
2024-05-28,108,
2024-05-29,108,
2024-05-30,108,
2024-05-31,108,1
2024-06-01,108,0
2024-06-02,108,
2024-06-03,108,
2024-06-04,108,
2024-06-05,108,
2024-06-06,108,
2024-06-07,108,0.8
2024-06-08,108,16.9
2024-06-09,108,
2024-06-10,108,
2024-06-11,108,
2024-06-12,108,
2024-06-13,108,
2024-06-14,108,
2024-06-15,108,6.1
2024-06-16,108,
2024-06-17,108,
2024-06-18,108,
2024-06-19,108,
2024-06-20,108,
2024-06-21,108,
2024-06-22,108,16.5
2024-06-23,108,5.1
2024-06-24,108,0
2024-06-25,108,
2024-06-26,108,
2024-06-27,108,
2024-06-28,108,
2024-06-29,108,38.3
2024-06-30,108,32.2
2024-07-01,108,
2024-07-02,108,65.1
2024-07-03,108,0.8
2024-07-04,108,3.6
2024-07-05,108,4.1
2024-07-06,108,2.8
2024-07-07,108,28.7
2024-07-08,108,21.1
2024-07-09,108,0.3
2024-07-10,108,1.4
2024-07-11,108,
2024-07-12,108,
2024-07-13,108,0
2024-07-14,108,0.4
2024-07-15,108,0
2024-07-16,108,17
2024-07-17,108,98.8
2024-07-18,108,128.8
2024-07-19,108,0.1
2024-07-20,108,14.9
2024-07-21,108,8.5
2024-07-22,108,79.9
2024-07-23,108,2
2024-07-24,108,14.7
2024-07-25,108,25.3
2024-07-26,108,5.5
2024-07-27,108,33.5
2024-07-28,108,0
2024-07-29,108,0
2024-07-30,108,
2024-07-31,108,
2024-08-01,108,0.3
2024-08-02,108,
2024-08-03,108,
2024-08-04,108,
2024-08-05,108,1.3
2024-08-06,108,0
2024-08-07,108,3.4
2024-08-08,108,0
2024-08-09,108,
2024-08-10,108,
2024-08-11,108,
2024-08-12,108,
2024-08-13,108,0
2024-08-14,108,3
2024-08-15,108,6.4
2024-08-16,108,0
2024-08-17,108,11
2024-08-18,108,0
2024-08-19,108,2.3
2024-08-20,108,0
2024-08-21,108,42.2
2024-08-22,108,0.6
2024-08-23,108,0
2024-08-24,108,2
2024-08-25,108,
2024-08-26,108,0
2024-08-27,108,0.3
2024-08-28,108,
2024-08-29,108,
2024-08-30,108,
2024-08-31,108,
2024-09-01,108,
2024-09-02,108,2.7
2024-09-03,108,
2024-09-04,108,
2024-09-05,108,6.9
2024-09-06,108,0.7
2024-09-07,108,0
2024-09-08,108,
2024-09-09,108,
2024-09-10,108,
2024-09-11,108,0.4
2024-09-12,108,32.7
2024-09-13,108,7.6
2024-09-14,108,0
2024-09-15,108,
2024-09-16,108,9.5
2024-09-17,108,
2024-09-18,108,0.7
2024-09-19,108,
2024-09-20,108,54.5
2024-09-21,108,27
2024-09-22,108,
2024-09-23,108,
2024-09-24,108,
2024-09-25,108,0
2024-09-26,108,1.2
2024-09-27,108,
2024-09-28,108,
2024-09-29,108,
2024-09-30,108,
2024-10-01,108,2.5
2024-10-02,108,
2024-10-03,108,
2024-10-04,108,
2024-10-05,108,
2024-10-06,108,0
2024-10-07,108,
2024-10-08,108,
2024-10-09,108,
2024-10-10,108,0
2024-10-11,108,
2024-10-12,108,
2024-10-13,108,
2024-10-14,108,0
2024-10-15,108,0.5
2024-10-16,108,
2024-10-17,108,
2024-10-18,108,47.1
2024-10-19,108,1
2024-10-20,108,
2024-10-21,108,0
2024-10-22,108,20.6
2024-10-23,108,2.3
2024-10-24,108,
2024-10-25,108,
2024-10-26,108,
2024-10-27,108,0
2024-10-28,108,0
2024-10-29,108,0
2024-10-30,108,
2024-10-31,108,
2024-11-01,108,
2024-11-02,108,
2024-11-03,108,0
2024-11-04,108,0.1
2024-11-05,108,
2024-11-06,108,
2024-11-07,108,
2024-11-08,108,
2024-11-09,108,
2024-11-10,108,
2024-11-11,108,
2024-11-12,108,
2024-11-13,108,
2024-11-14,108,0.1
2024-11-15,108,0
2024-11-16,108,6.5
2024-11-17,108,
2024-11-18,108,
2024-11-19,108,
2024-11-20,108,
2024-11-21,108,0
2024-11-22,108,
2024-11-23,108,
2024-11-24,108,
2024-11-25,108,0
2024-11-26,108,26
2024-11-27,108,22.4
2024-11-28,108,4.9
2024-11-29,108,0
2024-11-30,108,0
2024-12-01,108,0.5
2024-12-02,108,0
2024-12-03,108,0
2024-12-04,108,0
2024-12-05,108,1.8
2024-12-06,108,
2024-12-07,108,
2024-12-08,108,
2024-12-09,108,
2024-12-10,108,
2024-12-11,108,
2024-12-12,108,
2024-12-13,108,
2024-12-14,108,
2024-12-15,108,0
2024-12-16,108,0
2024-12-17,108,
2024-12-18,108,
2024-12-19,108,
2024-12-20,108,0.4
2024-12-21,108,2.9
2024-12-22,108,
2024-12-23,108,
2024-12-24,108,
2024-12-25,108,0.1
2024-12-26,108,0
2024-12-27,108,0
2024-12-28,108,
2024-12-29,108,
2024-12-30,108,0
2024-12-31,108,0
